Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Emotion
12043,"I mean do you have any fun, you know, fantasy type things?",Rachel,neutral,107,10,3,1,"00:06:14,791","00:06:22,297",neutral
11874,You're flingin'-flangin' right I am!,Chandler,positive,88,12,3,4,"0:00:47,548","0:00:47,878",joy
1217,Great.  You got anything that’s not,Joey,negative,130,3,7,5,"00:06:15,833","00:06:20,587",disgust
8487,Everyone knows I’m an ass man!,Joey,positive,893,10,7,16,"00:05:15,565","00:05:18,275",joy
11977,Are you sure?,Joey,neutral,99,4,3,21,"00:22:06,074","00:22:07,700",neutral
9825,"Well, I feel like a snack!",Chandler,positive,1023,0,7,15,"00:14:33,622","00:14:35,790",joy
9597,"Ooh, absolutely!",Phoebe,positive,1005,1,5,7,"00:14:45,926","00:14:47,927",joy
9957,A week?,Stanley,negative,1036,10,5,22,"0:19:45,700","0:19:46,118",anger
7113,"Guess who's here. It's the toughest guy in toy land, Ben.  'A real American hero. I'm",Ross,neutral,753,0,3,4,"00:14:17,106","00:14:25,655",neutral
5826,Probably?,Phoebe,neutral,617,2,7,10,"00:03:18,698","00:03:19,823",neutral
1427,Ohhh! That is soo sweet!,Rachel,positive,154,0,3,12,"00:13:59,713","00:14:02,799",joy
7552,"Honey, really, don't squeeze it so hard!",Monica,negative,801,7,2,6,"00:10:28,544","00:10:30,879",anger
12391,Who cares? I repel women.,Ross,negative,138,1,6,7,"00:15:16,081","00:15:18,708",disgust
7308,That's my sister.,Ross,neutral,775,3,1,7,"00:05:43,976","00:05:45,635",neutral
6678,You still love me?,Ross,negative,698,2,3,25,"0:16:31,240","0:16:32,283",anger
13614,Wow! Fortunately she has a,Chandler,negative,268,0,9,22,"00:02:47,292","00:02:51,920",surprise
9464,"Are they end to end, or tall like pancakes?",Chandler,neutral,990,4,1,13,"00:13:27,890","00:13:31,184",neutral
3065,Including me?,Monica,positive,320,16,6,16,"0:21:12,521","0:21:13,413",surprise
10712,Thank you.,Monica,neutral,72,8,5,11,"00:11:32,066","00:11:33,525",neutral
3871,Really? I’ve been dealing with Dr. Wells.,Man,negative,418,1,8,23,"00:17:35,959","00:17:38,253",surprise
3479,"You're like the boom, boom, ... boom.",Chandler,neutral,366,3,1,5,"0:19:27,124","0:19:27,768",neutral
6902,I just walked in the bathroom and saw Kathy naked! It was like torture!,Chandler,negative,728,0,4,7,"00:00:04,045","00:00:08,382",anger
10022,"Ah… Ah…Get out of here!  Uh, meeting someone? Or-or are you just here to brush up on Marion’s views on evolution?",Ross,negative,4,6,7,7,"00:14:51,932","00:15:11,743",anger
9896,Really? Like how?,Ben,negative,1029,0,7,16,"00:03:53,983","00:03:57,989",surprise
5565,"Hey buddy, this is a family place, put the mouse back in the house.",Gunther,negative,593,10,3,13,"00:18:11,048","00:18:15,802",disgust
856,You know what? You are right. I,Phoebe,neutral,88,0,9,21,"00:20:49,673","00:20:52,625",neutral
2622,"Oh, I know what I wanted to ask you. You were on the show years ago and then they killed you off. What happened there?",The Interviewer,neutral,277,2,8,19,"00:11:05,499","00:11:11,880",neutral
1801,Hey!,Phoebe,neutral,189,4,5,12,"0:09:28,985","0:09:29,957",neutral
9412,"I can't decide which route to take to Vegas. Hey, you've traveled a lot right?",Joey,neutral,984,1,5,22,"00:05:03,428","00:05:08,432",neutral
12539,"Okay, it’s not, it’s not.",Ross,neutral,155,4,3,15,"0:12:32,632","0:12:32,772",neutral
10225,What?! Wait-wait-wait! The handsome man was about to enter!!,Joey,negative,20,7,5,10,"00:22:00,277","00:22:04,488",surprise
6495,"Oh, yeah. Ok, thank you.",Phoebe,neutral,675,4,2,1,"00:21:56,315","00:22:00,234",neutral
1518,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,negative,164,0,1,1,"00:20:43,492","00:20:49,080",fear
7133,Good.,Monica,neutral,756,2,3,13,"0:11:47,499","0:11:48,721",neutral
10161,What about her whining and her constant need for attention?!,Phoebe,negative,16,4,7,5,"00:20:04,953","00:20:08,581",anger
5381,"Umm. Umm, I’m-I’m just gonna—",Ross,neutral,572,11,8,23,"00:09:44,405","00:09:45,614",neutral
3243,This one right here.,Joey,neutral,341,0,1,11,"00:07:21,762","00:07:23,431",neutral
315,What?,Ross,neutral,30,13,6,21,"0:05:01,779","0:05:03,485",neutral
907,Umm.  Umm. Umm. I don't think so.,Monica,positive,95,5,5,3,"0:04:21,386","0:04:22,304",joy
1901,"Y’know what? He didn’t want to talk to us about being angry, well maybe we don’t talk to him",Ross,negative,200,6,6,23,"00:14:06,762","00:14:12,392",anger
849,Yeah.,Ross,negative,87,3,1,5,"0:22:00,075","0:22:00,532",sadness
516,"Morning! Hey, how’s my favorite genius and my little robot buddy?!",Joey,positive,50,0,6,21,"00:14:11,308","00:14:15,436",joy
3108,"All right, I’m leaving!",Jill,negative,328,0,6,14,"00:21:20,279","00:21:22,989",anger
1416,"Okay, okay, bye",Ross,neutral,153,2,3,6,"00:09:27,233","00:09:28,858",neutral
9776,"""No we weren’t!""",Phoebe,negative,1018,15,8,8,"0:17:09,332","0:17:09,844",anger
9462,"Well, you're gonna.",Chandler,neutral,990,2,1,13,"00:13:10,372","00:13:13,249",neutral
7751,Hello!,Joey,positive,820,13,7,19,"00:00:47,547","00:00:48,630",joy
12381,Huh? Uh,Joey,neutral,137,6,7,11,"0:11:30,250","0:11:31,109",neutral
6973,"That’s, that’s, that’s a big candy bar. (She’s holding one of those huge",Ross,negative,736,4,4,17,"00:09:04,043","00:09:05,752",sadness
11211,Oh.,Roger,neutral,13,0,1,13,"00:19:48,687","00:19:49,854",neutral
11623,Right!,Chandler,positive,58,8,6,16,"00:14:55,811","00:14:56,811",surprise
10851,"Well, I said, I told him y'know, that I was the executor person of Francis' will and that I needed to talk to him so I'm gonna meet him at the coffee house later.",Phoebe,neutral,84,7,5,13,"00:09:56,387","00:10:03,685",neutral
3681,"Good luck, babe.",Emily,positive,393,4,4,15,"00:12:41,969","00:12:43,845",joy
4786,"Okay, quick and painful.",Ross,neutral,511,1,1,19,"0:09:53,231","0:09:55,353",neutral
4662,"Phoebe, we are so proud of you! You're amazing!",Monica,positive,502,0,5,3,"00:21:36,128","00:21:39,797",joy
8615,Oh! That's why.  I'm sorry!,Rachel,positive,906,5,1,15,"00:00:19,269","00:00:23,814",surprise
7720,"Anyway, I should go. Okay, bye.",Phoebe,neutral,819,1,7,4,"00:05:51,392","00:05:54,061",neutral
2848,Hating you!,Rachel,negative,301,8,1,20,"0:19:52,441","0:19:53,301",anger
12969,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!",Chandler,negative,198,4,1,12,"00:17:17,411","00:17:21,581",surprise
8030,"And remember, there is no ‘I’ in team.",Doug,neutral,845,4,3,24,"00:04:08,957","00:04:14,211",neutral
1199,Become a drama critic!,Kate,positive,129,0,3,22,"00:10:00,933","00:10:03,226",joy
9405,Joey! The wedding is in less than an hour!,Rachel,negative,983,2,7,24,"00:08:28,549","00:08:31,635",anger
8570,I really wish that you wouldn’t.,Ross,negative,902,5,7,14,"00:14:35,457","00:14:38,293",anger
2991,"Oh no-no-no, it’s only one night a week, and plus I get to take all of you out for a",Monica,neutral,315,5,4,9,"00:01:59,327","00:02:03,956",neutral
4239,"Um, ok, uh, oh god, um, when you and uh Ross first started going out, it was really hard for me, um, for many reasons, which I'm not gonna bore you with now, but um, I just, I see how happy he is, you know, and how good you guys are together, and um, Monica's always saying how nice you are, and god I hate it when she's right.",Rachel,negative,455,11,2,2,"00:20:55,629","00:21:06,222",sadness
8890,"Joey, do you work here?",Monica,negative,933,16,6,12,"0:10:47,730","0:10:49,732",surprise
8744,"In fact—yes,  I’m, I’m sorry.",Phoebe,negative,918,11,4,18,"00:20:52,308","00:20:58,839",sadness
7936,And shame on you!,Phoebe,negative,839,12,6,14,"0:17:03,999","0:17:05,495",disgust
7422,"Oh! Hey Rach, listen umm",Joey,neutral,791,2,8,12,"0:02:05,375","0:02:06,877",neutral
2679,"Hey uh, is it okay to come in?",Joey,neutral,285,0,9,1,"00:08:07,361","00:08:10,071",neutral
7415,"I-I really do, I like you a lot.",Joey,negative,789,6,5,15,"0:09:08,304","0:09:11,316",fear
5410,"Yes, but you cannot tell anyone! No one knows!",Monica,positive,574,8,5,5,"00:20:27,893","00:20:30,353",joy
5050,It was a project for one of the Home Ec classes.,Monica,neutral,536,6,4,2,"00:07:45,214","00:07:47,299",neutral
12288,Yes! It’s flown into your blouse and you’d better undo your buttons lest it sting you!,Chandler,negative,128,5,8,7,"00:18:14,468","00:18:19,639",anger
3562,Yes!,Mr. Zelner,positive,375,0,5,17,"00:17:52,696","00:17:53,863",joy
2496,I know. I’m mad at me too.,Phoebe Sr.,negative,261,5,4,1,"00:19:20,242","00:19:24,579",anger
938,That’s me! Come on!,Chandler,positive,99,8,7,19,"00:05:49,140","00:05:50,474",joy
5015,"Allright, fine, I only have one thought! It's about the hot nanny,    I gotta see her!",Joey,positive,532,5,9,12,"00:10:55,780","00:10:57,906",joy
12466,"Oh thanks, but listen, I was just at Monica’s and she and Chandler had a big fight and they’re not moving in.",Rachel,negative,146,1,6,3,"00:12:03,472","00:12:09,686",sadness
765,You think it looked amazing?,Rachel,negative,76,7,8,4,"00:19:56,153","00:19:59,280",sadness
2292,"David, can you help me?! I'm trying to explain to Chandler how a plane stays in the air.",Monica,neutral,240,0,9,23,"00:03:42,138","00:03:47,017",neutral
11548,"Okay, y'know your not though. Let's go.",Chandler,neutral,49,15,5,5,"00:01:08,443","00:01:12,946",neutral
7291,"OK, we got the cole slaw, we got the buns...",Monica,neutral,773,0,1,24,"00:02:27,605","00:02:30,232",neutral
6957,"Yeah. Listen, can you keep this information to yourself?",Ross,neutral,735,8,3,16,"00:09:09,465","00:09:13,885",neutral
808,"Chandler, we still haven’t gotten an RSVP from your dad.",Monica,neutral,82,0,7,22,"00:03:07,687","00:03:10,981",neutral
5775,"So, we're decided, no on plaid, yes on pink?",Kim,neutral,614,0,5,18,"00:14:31,704","00:14:34,414",neutral
9091,Thank you.,Rachel,neutral,949,12,9,23,"00:18:53,590","00:18:55,341",neutral
9244,"Yeah, I know. It's ridiculous! I can't see you either.",Rachel,neutral,964,17,5,5,"00:07:28,197","00:07:31,783",neutral
9380,How do you think Joey?s going to react when he finds out that you blew off his sister with a letter?,Ross,negative,980,5,3,11,"00:12:46,807","00:12:53,229",anger
8193,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?",Mrs. Geller,negative,861,3,1,8,"00:04:13,127","00:04:19,424",anger
11143,"What a coincidence, I listen in my sleep.",Chandler,neutral,5,7,4,20,"00:14:54,059","00:14:57,896",neutral
5148,What does she mean?,Rachel,neutral,546,6,1,21,"00:05:30,788","00:05:32,039",neutral
11890,"Awww, y'know what your nickname is, Mr. Big",Monica,positive,92,4,5,11,"00:12:37,757","00:12:39,841",joy
12791,"Nope, sound like me. Pheebs, it’s going great. Look at Chandler with little baby girl Chandler.",Monica,positive,178,2,6,5,"00:05:37,795","00:05:43,633",joy
9349,"All right this is about, umm, people feeling certain things y'know about strippers.",Rachel,neutral,977,7,3,12,"00:21:21,196","00:21:30,288",neutral
1531,"A TV as if it appears from nowhere! That’s the dream! Man, how did you afford this stuff?",Joey,positive,165,3,4,7,"00:14:24,196","00:14:31,953",surprise
11807,Why?,Rachel,negative,78,0,3,1,"00:08:26,631","00:08:28,131",sadness
269,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,26,4,5,18,"00:09:55,219","00:10:02,976",neutral
13433,Wow.,Alan,positive,251,0,1,3,"00:21:16,441","00:21:17,858",surprise
8400,Ahh!,Phoebe,neutral,886,13,4,17,"00:13:54,583","00:13:57,961",neutral
12492,Rachel has those in burgendy.,Gunther,neutral,150,5,3,8,"00:20:21,303","00:20:23,095",neutral
13047,"Oh, that is so sick.",Rachel,negative,205,5,1,20,"00:00:35,160","00:00:37,453",disgust
7159,No. Not anymore.,Chandler,neutral,759,1,3,4,"00:16:46,255","00:16:48,256",neutral
4115,"Yeah, they're not so bad.",Lydia,neutral,444,6,1,23,"00:13:51,664","00:13:53,915",neutral
1012,That was a test!,Chandler,negative,109,16,4,14,"0:15:09,793","0:15:10,912",fear
13531,It’s your joke.,Ross,neutral,259,14,6,12,"0:17:32,885","0:17:33,657",neutral
226,You have no idea how loud they are!,Phoebe,negative,21,11,1,4,"00:02:24,894","00:02:26,937",disgust
1977,"Well, you just asked if I wanted to go to bed with you tonight.",Mischa,neutral,207,1,3,15,"00:14:21,360","00:14:24,779",neutral
4179,"Yeah, you still have feelings for me.",Mona,negative,449,7,8,17,"0:21:03,929","0:21:06,071",sadness
1109,Okay.,Chandler,neutral,120,9,4,12,"0:13:26,848","0:13:27,325",neutral
11671,"Umm, Gene.",Phoebe,neutral,65,5,4,18,"0:17:35,861","0:17:36,112",neutral
8173,"Umm, nothing. I mean, I’m getting married next week.",Ursula,neutral,859,3,8,6,"00:02:13,091","00:02:16,844",neutral
10474,"Oh! I thought you guys got married in uh, January?",Ross,negative,47,7,3,17,"00:12:34,712","00:12:37,172",surprise
7586,"I know! I know! I am a terrible person! I mean, Chandler is never going to trust me with anything ever again!",Monica,positive,806,2,8,2,"00:17:25,627","00:17:32,675",joy
2113,No leg-chewing for us sir.,Monica,neutral,222,6,8,11,"00:03:56,653","00:04:01,365",neutral
9070,Yeah!,Phoebe,positive,948,7,9,19,"0:06:47,094","0:06:49,370",joy
1107,"All right, gentlemen, you’re up first.",Ross,neutral,120,7,4,12,"00:13:24,303","00:13:26,054",neutral
12104,Would you like to go out and have a cup of coffee?,Guy,neutral,112,18,8,17,"0:18:50,796","0:18:52,381",neutral
1133,"Come on, you think she should go out with me, don’t you?",Pete,neutral,122,10,3,18,"00:07:24,235","00:07:30,574",neutral
6367,"Hey, y’know I was thinking, what are the odds like if-if, if you stuff like 200 of them in there?",Frank,neutral,665,9,4,12,"00:06:14,916","00:06:17,709",neutral
7771,"Y’know how before you said it might be weird, the whole student teacher thing, and to be frank I thought it would be too, but it’s not.",Ross,positive,821,11,6,18,"00:10:28,586","00:10:38,011",surprise
10331,What?,Joey,neutral,30,6,6,20,"0:00:25,442","0:00:26,124",neutral
148,"Uh, well... Joey and I broke up.",Charlie,negative,15,3,9,23,"00:42:26,126","00:42:29,754",sadness
10685,It just doesn't matter how I feel.,Rachel,negative,69,13,7,8,"0:20:11,920","0:20:13,260",sadness
10741,I mean I’d-I’d be okay with that.,Ross,neutral,74,15,8,3,"0:10:32,465","0:10:34,397",neutral
10823,Ohh!,Joey,positive,82,6,6,21,"00:10:05,771","00:10:06,771",surprise
3011,Hey!,Joey,positive,317,6,7,11,"0:03:51,750","0:03:52,581",joy
1037,"Take whatever you want, just please don’t hurt me.",Chandler,negative,111,13,7,1,"00:08:27,882","00:08:30,550",fear
2895,"All right, rock on.",Chandler,positive,305,14,3,15,"00:03:28,625","00:03:30,334",joy
11582,Okay you two are asking the court for an annulment?,Judge,neutral,54,0,6,5,"00:10:25,541","00:10:28,043",neutral
12759,"Look, I don’t feel like dancing, I feel like having a drink. Okay?",Ross,negative,174,17,3,15,"00:18:32,694","00:18:35,780",sadness
174,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,negative,17,0,5,19,"00:06:15,416","00:06:19,127",anger
3323,"Yeah! And I got it on sale, too.",Monica,positive,350,3,3,6,"00:19:12,568","00:19:15,570",joy
6078,I love working with designers!,Rachel,positive,640,15,4,9,"00:07:30,658","00:07:32,409",joy
4075,Can we just start throwing things in?,Monica,neutral,440,4,1,14,"00:13:08,871","00:13:12,332",neutral
5004,"All right, look I was just trying to make a good first impression.",Ross,negative,531,10,6,4,"00:20:43,867","00:20:47,703",anger
10124,"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",Frank,positive,13,8,5,3,"00:16:34,034","00:16:38,579",joy
929,"Well, if the magician can open my beer with his but cheeks, then all right.",Chandler,neutral,98,1,3,12,"00:01:44,896","00:01:48,732",neutral
12499,"Yeah, yeah. You can do it to.",Phoebe,positive,152,2,3,5,"00:07:25,778","00:07:27,070",surprise
7945,"Well, sure...just a sec, though, 'cause Paolo's on his way over.",Rachel,neutral,840,5,1,12,"00:13:02,281","00:13:06,785",neutral
4206,"Yeah, well he’d prefer water colors, but y'know, he has easy access to a lot of charcoal.",Phoebe,neutral,450,20,3,23,"00:14:50,806","00:14:54,851",neutral
12169,"Well, the heart wants what it wants. I’ll see you later.",Chandler,neutral,118,11,6,18,"00:15:29,678","00:15:32,847",neutral
2825,I’ve got five bucks says you can’t.,Chandler,neutral,299,3,3,5,"00:21:51,935","00:21:54,562",neutral
2606,"Oh well, you're timing couldn't be better. I am putting out fires all over the place.",Joey,neutral,275,6,5,11,"00:15:10,492","00:15:19,918",neutral
9326,Hey?,Ross,neutral,975,4,2,4,"0:07:14,392","0:07:14,893",neutral
4032,"This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?",Rachel,positive,435,2,8,18,"00:05:10,089","00:05:18,806",joy
9873,What are you talking about?,Monica,negative,1026,6,5,14,"00:06:45,363","00:06:47,030",surprise
6501,Oh God.,Rachel,negative,676,4,5,5,"00:10:24,123","00:10:26,333",fear
9144,"Oh yeah, no problem.",Joey,neutral,954,2,5,18,"0:15:49,323","0:15:50,385",neutral
9035,"Don't look now, but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression.",Monica,neutral,946,5,1,11,"00:00:13,930","00:00:21,103",neutral
9979,How many perfectly fine women are you gonna reject over the most superficial insignificant things?,Monica,negative,1038,8,2,3,"00:00:28,319","00:00:32,573",surprise
6642,"Oh it's OK. You were worth the wait, and I don't just mean tonight.",Rachel,neutral,692,1,2,15,"00:19:54,610","00:20:00,081",neutral
3258,I’ll take a card.,Chandler,neutral,342,14,8,20,"00:08:09,644","00:08:13,272",neutral
7678,But it didn’t. Say hello to Mrs. Chatracus.,Monica,neutral,813,7,4,15,"00:18:16,386","00:18:22,767",neutral
6704,No!,Rachel,negative,700,5,6,1,"0:15:23,624","0:15:23,985",anger
13579,I'm gonna have to give him up.,Ross,negative,263,9,1,21,"00:08:24,962","00:08:26,421",sadness
12226,"Well, just until we find an energy source to replace fuel.",Chandler,neutral,124,3,4,15,"00:20:14,129","00:20:19,508",neutral
5578,Well you did pull his hair.,Chandler,neutral,595,1,6,1,"00:14:01,298","00:14:03,299",neutral
10672,"Oh, hi! How are you doing?",Rachel,positive,69,0,7,8,"00:19:38,969","00:19:41,000",joy
5397,Say it!,Rachel,positive,573,6,6,17,"0:16:02,628","0:16:03,880",joy
12479,"All right, ok, I gotta go.",Monica,neutral,147,7,1,12,"00:22:24,760","00:22:27,386",neutral
2856,And I hope Barry doesn't kill you and eat you in Aruba.,Rachel,negative,301,16,1,20,"00:20:43,617","00:20:46,702",sadness
1893,Oh-oh Professor Geller.,Rachel,neutral,199,10,6,19,"00:21:24,700","00:21:28,244",neutral
5536,"Look, I don’t think so Pheebs.  All right, I’ll do it. But just because you’re a friend.",Ross,neutral,590,17,7,5,"00:09:14,512","00:09:26,147",neutral
9492,"I-I-I’m sorry, your-your mouth was full, I didn’t hear what you said. Umm, hats off to who now?",Monica,neutral,991,12,8,21,"00:13:40,153","00:13:45,450",neutral
2349,You’re gonna have to tell me how you did that.,Rachel,neutral,246,4,8,8,"00:17:35,763","00:17:37,555",neutral
4077,"Ok, Barry's letters. Adam Ritter's boxer shorts.",Rachel,neutral,440,6,1,14,"00:13:16,003","00:13:21,633",neutral
9956,I don't know.,Stanley,neutral,1036,9,5,22,"0:19:44,808","0:19:45,700",neutral
12724,No!,Monica,negative,173,1,6,17,"0:12:37,298","0:12:38,216",surprise
3215,So you don’t have the cameras?!,Chandler,negative,337,14,8,2,"0:03:40,512","0:03:43,464",surprise
843,"Oh, me too.",Rachel,neutral,86,8,5,18,"00:09:31,612","00:09:33,321",neutral
2427,Haha!,Monica,positive,254,8,9,17,"00:10:13,309","00:10:14,997",joy
11761,"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that one—Dude! They’re all huge!",Joey,negative,73,0,4,15,"00:11:26,811","00:11:34,234",fear
9426,I mean I think it's great!,Phoebe,positive,986,4,5,14,"0:03:19,532","0:03:20,994",joy
10410,"We could, or we can have sex in it.",Monica,positive,39,1,8,24,"00:01:11,851","00:01:15,104",joy
12365,"He’s not gonna make it, he’s stuck in Chicago.",Chandler,negative,134,1,4,9,"00:06:08,201","00:06:10,285",sadness
2690,"Oh uh-uh yeah, I think that…",Joey,neutral,285,11,9,1,"0:08:47,193","0:08:49,547",neutral
479,Women love guys who love babies.,Joey,neutral,47,3,2,6,"0:06:19,420","0:06:21,402",neutral
495,"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",Ross,neutral,49,1,6,18,"00:12:58,027","00:13:02,197",neutral
6724,"Ok, I'm makin' a break for it, I'm goin' out the window.",Chandler,neutral,704,0,1,14,"00:04:24,222","00:04:26,765",neutral
11434,"So, I hear, you hate me!",Janice,negative,37,0,3,1,"00:13:51,664","00:13:54,707",anger
266,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,26,1,5,18,"00:09:45,126","00:09:48,128",neutral
141,But that’s not enough. So… So…here’s a key to my apartment.,Ross,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",neutral
9137,"I don't know, I kinda like Bob for a girl.",Phoebe,neutral,953,18,9,12,"00:08:58,037","00:09:00,497",neutral
1090,But I can see through your sheet.,Joey,neutral,119,1,5,17,"0:14:48,471","0:14:50,735",neutral
9907,"And then you say to person, I bet you can’t roll this quarter from your forehead to your chin without it leaving your face.",Rachel,neutral,1029,11,7,16,"00:04:28,142","00:04:34,064",neutral
2973,It still doesn’t work.,Chandler,positive,313,3,6,1,"00:21:44,052","00:21:45,261",joy
8710,But they're not here yet!,Carol,negative,915,7,1,23,"0:16:08,684","0:16:09,982",fear
3137,Sorry.,All,neutral,331,5,5,2,"00:08:05,318","00:08:06,776",neutral
9393,"Okay, here you go.  I have two queens, what do you have?",Chandler,neutral,982,1,6,6,"00:11:35,403","00:11:40,782",neutral
3193,"Oh my God, how did you do that?",Chandler,positive,336,14,3,10,"00:12:55,566","00:12:59,819",surprise
2956,"Noo, nnnnn. What does this mean? What do you, I mean do you wanna, get back together?",Ross,positive,312,8,3,25,"00:16:45,629","00:16:50,049",surprise
8315,I don't have to give up the bag!,Joey,negative,874,6,5,13,"0:21:22,842","0:21:23,670",anger
2337,"Wow, I’m never gonna have that feeling again, am I?",Monica,negative,245,9,7,18,"00:07:21,399","00:07:31,283",sadness
7399,You're hot.,Joey,neutral,787,6,6,7,"00:17:24,001","00:17:25,501",neutral
9615,Go!,Phoebe,neutral,1005,19,5,7,"0:15:54,954","0:15:55,766",neutral
6476,"And we’ll need to have witnesses who can testify that you were not of uh, sound mind.",Russell,neutral,673,15,6,2,"00:16:04,964","00:16:09,384",neutral
1714,She was kinda stupid.,Rachel,neutral,182,11,5,10,"00:07:34,787","00:07:36,913",neutral
5144,Which one do you think she is?,Rachel,neutral,546,2,1,21,"00:05:16,232","00:05:18,108",neutral
1679,I promise.,Rachel,neutral,179,14,7,22,"0:13:51,831","0:13:52,597",neutral
5609,Why are you reading this? You hate this kind of stuff.,Monica,positive,597,3,6,14,"00:13:03,532","00:13:06,034",surprise
8322,Wait a minute!,Rachel,negative,874,13,5,13,"0:21:49,242","0:21:51,612",anger
5134,The most unbelievable thing has happened. Underdog has just gotten away.,Chandler,negative,545,6,1,9,"00:13:43,155","00:13:46,741",surprise
2952,You still love me?,Ross,negative,312,4,3,25,"0:16:31,240","0:16:32,283",sadness
3007,"Well, I’ll tell you Rachel Karen Green, I had plans with Joey tonight and he left me this note.",Phoebe,neutral,317,2,7,11,"00:03:32,754","00:03:38,342",neutral
409,"Ah, it’s says so in the script!",Joey,negative,39,15,3,19,"00:11:47,123","00:11:59,467",anger
1376,"Yeah, yeah, it's just that with my last roommate Kip...",Chandler,neutral,148,16,1,12,"0:08:14,577","0:08:16,559",neutral
12032,Well it’s very unsettling.,Chandler,negative,106,3,3,17,"00:14:41,380","00:14:42,755",sadness
10254,"I mean shoulda seen it, I mean Carol and I’d be out and she’d, she’d see some beautiful woman, and, and she’d be Ross y'know look at her, and I’d think, God, my wife is cool!",Ross,negative,23,7,3,6,"00:18:03,499","00:18:13,674",sadness
4150,Now get out of here you!!,Monica,positive,446,13,3,19,"00:10:28,336","00:10:30,670",joy
11014,"Nothing! I said, I said ""You're so great"" and then I just, I just stopped talking!",Chandler,negative,104,9,5,8,"00:21:07,933","00:21:11,852",fear
13301,That's so great! 'Cause you already know how to do that!,Phoebe,positive,237,7,1,15,"00:07:46,966","00:07:50,385",joy
917,Yep! There's always room for,Joey,neutral,95,15,5,3,"00:04:51,207","00:04:54,751",neutral
9037,"He's coming. Be cool, be cool, be cool.",Monica,negative,946,7,1,11,"00:00:21,771","00:00:24,106",anger
7292,"We've got the ground-up flesh of formerly cute cows and turkeys, ew...",Phoebe,negative,773,1,1,24,"00:02:30,441","00:02:34,611",disgust
6390,We have a ladle.,Monica,neutral,666,13,5,7,"0:11:44,579","0:11:45,793",neutral
4938,"But, okay.",Ross,neutral,526,13,3,5,"00:20:53,460","00:20:55,086",neutral
3764,Flying a jet?,Chandler,negative,405,5,5,11,"0:21:46,514","0:21:48,253",surprise
8872,"Hey Rach, have you seen Charlie anywhere?",Ross,neutral,932,15,9,20,"00:23:07,457","00:23:10,710",neutral
8506,Oh! We could have done that.,Phoebe,neutral,895,10,8,3,"00:08:08,196","00:08:11,031",neutral
5510,Really?,Earl,positive,589,2,7,13,"00:19:09,773","00:19:10,857",surprise
6542,Hey!!,Chandler,positive,679,7,6,21,"0:00:31,796","0:00:32,709",joy
6339,That was amazing!,Chandler,positive,663,0,5,17,"00:14:09,557","00:14:11,474",joy
575,"I mean, you’re my favorite guy in the whole world.",Dina,neutral,54,10,8,10,"00:20:11,418","00:20:14,670",neutral
713,"Well, I'm gonna get another espresso. Can I get you another latte?",Chandler,neutral,69,1,1,5,"00:10:04,270","00:10:06,938",neutral
10607,"Okay Ross, can I uh, can I ask you something?",Rachel,negative,63,5,8,18,"0:19:58,935","0:20:01,747",sadness
6246,"Oh I’m not, I just like to try these on.",Megan,neutral,657,1,7,17,"0:04:11,751","0:04:13,813",neutral
11863,"Oh, oh! It's on again!",Phoebe,positive,88,1,3,4,"00:00:10,301","00:00:11,593",joy
13352,Really?!,Woman,positive,241,12,7,22,"0:21:31,333","0:21:31,591",surprise
4960,Ross! I think she is trying to make something happen with you to get back at me!,Rachel,negative,529,0,6,14,"00:17:44,772","00:17:48,232",anger
2680,"Of course! Oh Joey, this ring I…it’s beautiful I love it!",Rachel,positive,285,1,9,1,"00:08:10,281","00:08:14,201",joy
3930,"Oh, wow! I should get going. I-I got a date tonight.",Ross,positive,424,0,4,10,"00:09:08,130","00:09:10,465",joy
12981,What did he say?,Phoebe,neutral,199,3,4,20,"0:18:05,209","0:18:06,465",neutral
4338,Clear the tracks for the boobie payback express. Next stop: Rachel Green.,Joey,neutral,465,1,1,13,"00:22:03,363","00:22:08,034",neutral
12285,Okay. (Goes over and fluffs up the pillows on the couch.,Brenda,neutral,128,2,8,7,"00:18:07,961","00:18:09,670",neutral
774,Why is Ross doing that?,Phoebe,neutral,78,3,6,17,"0:21:27,452","0:21:29,094",neutral
5784,It does sound appealing.,Kim,neutral,614,9,5,18,"00:15:03,819","00:15:04,944",neutral
573,Because! ‘Cause… ‘Cause you’re my baby sister!,Joey,negative,54,8,8,10,"00:20:07,623","00:20:09,582",sadness
11589,Crack isn’t even an intravenous drug!,Ross,negative,54,7,6,5,"00:10:55,946","00:10:58,406",anger
